GeneSymbol	T15	T17	T18	T20	T3	T34	T39	T4	T40	T10	T11	T12	T27	T28	T30	T35	T36	T37	T38	T5	T6	T7	T8	T9
A1BG	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A1CF	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A2M	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A2ML1	38.4508663744518	15.7514544606576	11.2832045930601	44.7466493890655	30.0026518425199	58.1459081729839	31.1889136246882	40.5320540572439	1	1	1	1.32206427638668	1	3.1570361349302	1	1	1	32.9251447600038	29.330633943202	8.87026213420858	1	1	1	1
A4GALT	40.9568270340483	1	45.0607273978912	55.1556361691253	45.1142880247592	38.6122091986209	17.5794772215105	64.5492555803214	37.5962314454652	10.1126850585628	12.8325138423501	29.4917751038024	1	1.27373248921064	40.1789402764186	3.03040984163266	1.08846781547516	1	3.61991223008222	5.8923735858911	15.179736853771	5.55767202326134	7.65257322531523	1
A4GNT	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
AAAS	26.6822789977018	5.34196932364733	13.9099942757714	38.3469633991305	35.6551147445031	12.6709914689455	11.9885495840558	56.8587942913218	12.3809159702375	28.964167881948	43.5802438038894	29.9123151917779	7.70535970952302	21.1369026258559	14.057419303559	11.8323015183985	10.9454806660872	50.3449216209022	13.3252333536276	39.3229499021168	29.9211382296477	21.0617825440772	13.5016383799107	10.5582646172214
AACS	21.7417219327576	6.0175229720422	22.7851364404999	20.0437480707327	12.1580948829769	9.18297937031237	16.645570989845	29.3553238558079	7.76232731453403	21.0952801455343	27.2228287760443	25.5427976039562	12.9483040201347	8.78919679981388	26.2718671708869	7.01994641830633	8.10279636414435	29.2266542410499	7.84959099355977	17.7684231272743	22.8792211575501	10.5073427086135	10.5574727646735	12.9551250581591
AADAC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AADACL2	4.17771522511247	3.14770955963499	3.24061850612615	3.36984419463284	3.1337837869453	3.78808724624243	3.19958138956448	3.71233622351972	3.85718596789842	3.92218228658771	3.43469622428288	3.1551391965806	3.16849111111232	3.2940159004326	3.13560940755079	3.13880304144323	3.7150081450096	3.73159532070978	3.12747249069509	3.74211948888158	3.19873508868008	3.22118781976259	3.16186876912484	3.12070585966837
AADAT	1.96035718076146	1.96035718076146	1.96035718076146	1.96035718076146	1.96035718076146	1.96035718076146	1.96035718076146	1.96035718076146	1.96035718076146	1.96035718076146	1.96035718076146	1.96035718076146	1.96035718076146	1.96035718076146	1.96035718076146	1.96035718076146	1.96035718076146	1.96035718076146	1.96035718076146	1.96035718076146	1.96035718076146	1.96035718076146	1.96035718076146	1.96035718076146
AAED1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
AAGAB	18.8639234310606	7.42411186180645	24.55966588003	64.3347600298894	20.6723220826184	18.8665401521037	27.5590779403377	77.6977739243452	13.9884099245314	57.5413325272511	64.0233744407883	35.4508414722438	10.1724777851621	12.5786883061624	15.4862709174313	9.47660703467492	7.99244589351872	36.6917540225326	10.2186527091863	51.2523885389743	55.9591906547558	51.9508760105046	53.014612266508	11.1614181183501
AAK1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AAMDC	9.17299832611629	4.85856126946076	5.87314367257064	9.72806941801319	9.93496604868697	6.54391338672132	5.21052563630688	22.4323340062579	8.85549478519049	15.081673245447	11.1658527122753	8.85205404170015	5.13299911227359	17.3645025672859	18.0868789181784	7.73677271852862	6.72442143195623	16.9848885542121	6.48097711934989	17.0994365671964	14.518022270682	13.7849912434036	9.53138993622794	5.73360006702639
AAMP	24.9705428713946	8.1799806783789	45.5108852308674	46.3063140655183	11.777700947223	17.8609003032204	11.7764925442141	43.8969990248931	10.1827681086909	28.4925550818944	37.5218011758595	26.877460472911	15.4649219294158	45.4696375550588	49.4120815140133	8.71539292733187	9.32990043958386	31.6031161393255	10.3272368287712	41.8170294304544	43.4393371388195	22.3508987738421	27.6930510780131	9.135130223557
AANAT	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
AAR2	19.717780447651	6.32569702478845	15.6802520844595	31.3658986620388	22.8485992225813	8.86556597518598	8.13956893239946	41.001190873602	9.7022093418868	28.3265880780452	35.0246404123874	27.7968850206098	11.3590974197354	17.4056567307526	45.297333772739	7.22565634832074	7.97779737161592	32.9295317475484	8.35658398445877	37.6464771965906	42.2878226853536	32.2327702338891	11.6759420529132	7.40275866735629
AARD	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
AARS	42.9080256948179	15.0204389480499	51.1622779379892	147.288706221116	161.3189446705	88.3985007511522	18.2936913861525	161.372418751231	36.7666683100013	121.26684787676	173.73891615593	132.447396491294	29.306223379677	22.8530914748617	150.985123707315	16.0627466875808	25.9824206580958	67.1040591165152	17.9591526707439	121.065015401477	113.145301873714	99.1049364789553	90.7073784724556	27.9186836147806
AARS2	1.23120526659757	1	1.18096585380342	1.52978742993232	1.2451092349939	1	1	1.71059562467046	1	1.30049971951396	1	1.58853964420164	1	1.50872009025672	1.68107475296333	1	1	1.62678213499872	1	1.38312369183112	1.46221322001532	1.20956747266865	1	1.2747612273538
AARSD1	14.4119781313183	13.7932022393839	14.6165276266964	25.7028262362817	16.6764522900396	15.6213510800738	14.1264445348714	30.3588075202983	17.5408299675165	24.5534971341582	25.5674736040007	29.6028355578395	18.0478888757703	25.3112163724094	21.1078234576074	16.7919841280595	19.647462363606	27.1844912761452	16.2446213266118	21.9835524950586	23.0694554843424	18.6213349643664	20.3980554788554	20.1140760320008
AASDH	2.08271608977058	2.08271608977058	2.08271608977058	2.08271608977058	2.08271608977058	2.08271608977058	2.08271608977058	2.08271608977058	2.08271608977058	2.08271608977058	2.08271608977058	2.08271608977058	2.08271608977058	2.08271608977058	2.08271608977058	2.08271608977058	2.08271608977058	2.08271608977058	2.08271608977058	2.08271608977058	2.08271608977058	2.08271608977058	2.08271608977058	2.08271608977058
AASDHPPT	14.612972643481	2.11915045354929	3.54331125547668	17.8704709392379	5.50907010766446	7.92257699113436	5.73682859755587	14.9655330441	3.76380658059238	11.15645813866	16.194383282646	10.3239333910456	3.21970764150617	2.03614686577093	11.9458861098335	5.13345774939852	4.85857028388265	16.0555113904014	5.74461371071813	10.0350251817709	7.84491304177325	10.6625511028961	11.2008194861015	4.3419035847165
AASS	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
AATF	90.7129900632515	29.5864094139659	22.7065375931374	130.581364262796	92.2624457741616	37.8493235939064	30.5601011039111	130.994107882828	35.4212383584282	68.6064243562217	67.2608576946836	84.2103778886528	24.7013111783422	25.2895819828356	144.942634364855	28.7616753058376	32.3032368738959	121.511029621865	34.4008554200653	62.0827398239033	82.4033846348933	29.6992350630934	29.2490928731382	27.8362320914489
AATK	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABAT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABCA1	31.1356406125393	4.34841710571242	25.5726941169581	90.301705890435	76.5329408711082	56.1342038586494	78.3365704310875	95.3195799688304	74.2086439574189	49.064969472453	64.0119891134599	16.749989093851	8.010767981638	12.3895194209033	38.8566675745641	13.8700443043183	14.4820221544167	82.1489789158734	17.3314030584943	45.8339749523104	68.5801197289074	40.568986638155	19.3288473814114	11.3947035407695
ABCA10	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ABCA12	17.1716387057074	6.8802302953537	19.9088423407035	11.6287422015892	8.20146696303874	20.7391952739304	18.8990392434228	19.0204440047692	9.06803527220257	6.56147270209299	14.4021486558615	5.68654125189021	6.41765884024053	5.57800750056172	18.6774431505318	5.52288915737984	17.1337716698878	13.0970275071964	7.21309819609207	11.4172790621972	7.67158040441861	8.37478471967193	23.4439013184716	10.7555206146991
ABCA13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABCA2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABCA3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ABCA4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABCA5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABCA6	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
